            title            
-----------------------------
 ALICE FANTASIA
 ALIEN CENTER
 ALONE TRIP
 ALTER VICTORY
 ANALYZE HOOSIERS
 ANYTHING SAVANNAH
 APOLLO TEEN
 ARACHNOPHOBIA ROLLERCOASTER
 ARK RIDGEMONT
 ARSENIC INDEPENDENCE
 ARTIST COLDBLOODED
 ATTACKS HATE
 ATTRACTION NEWTON
 AUTUMN CROW
 BACKLASH UNDEFEATED
 BADMAN DAWN
 BEDAZZLED MARRIED
 BEHAVIOR RUNAWAY
 BIRDS PERDITION
 BLADE POLISH
 BLINDNESS GUN
 BLOOD ARGONAUTS
 BLUES INSTINCT
 BRIDE INTRIGUE
 BUBBLE GROSSE
 CALENDAR GUNFIGHT
 CAMELOT VACATION
 CAROL TEXAS
 CARRIE BUNCH
 CASABLANCA SUPER
 CATCH AMISTAD
 CHARADE DUFFEL
 CHEAPER CLYDE
 CHICKEN HELLFIGHTERS
 CHISUM BEHAVIOR
 CHOCOLATE DUCK
 CHRISTMAS MOONSHINE
 CIRCUS YOUTH
 CLEOPATRA DEVIL
 CLOCKWORK PARADISE
 CLOSER BANG
 CLUE GRAIL
 CLUELESS BUCKET
 COAST RAINBOW
 COMANCHEROS ENEMY
 CONFUSED CANDLES
 CREEPERS KANE
 CROSSROADS CASUALTIES
 CROWDS TELEMARK
 CROW GREASE
 CURTAIN VIDEOTAPE
 DAISY MENAGERIE
 DANCES NONE
 DARKO DORADO
 DAWN POND
 DAY UNFAITHFUL
 DECEIVER BETRAYED
 DESERT POSEIDON
 DESTINATION JERK
 DESTINY SATURDAY
 DETECTIVE VISION
 DEVIL DESIRE
 DINOSAUR SECRETARY
 DISCIPLE MOTHER
 DISTURBING SCARFACE
 DOCTOR GRAIL
 DONNIE ALLEY
 DOORS PRESIDENT
 DOUBLE WRATH
 DRAGONFLY STRANGERS
 DREAM PICKUP
 DRIFTER COMMANDMENTS
 DRIVER ANNIE
 EAGLES PANKY
 EARLY HOME
 EASY GLADIATOR
 ELF MURDER
 ELIZABETH SHANE
 ENCINO ELF
 EXPENDABLE STALLION
 FATAL HAUNTED
 FERRIS MOTHER
 FEUD FROGMEN
 FICTION CHRISTMAS
 FIDELITY DEVIL
 FIGHT JAWBREAKER
 FIREBALL PHILADELPHIA
 FISH OPUS
 FLASH WARS
 FLINTSTONES HAPPINESS
 FLOATS GARDEN
 FLYING HOOK
 FORRESTER COMANCHEROS
 FORWARD TEMPLE
 FREAKY POCUS
 FREDDY STORM
 FREEDOM CLEOPATRA
 FROGMEN BREAKING
 GARDEN ISLAND
 GHOSTBUSTERS ELF
 GHOST GROUNDHOG
 GILMORE BOILED
 GLORY TRACY
 GOLDFINGER SENSIBILITY
 GOLDMINE TYCOON
 GOLD RIVER
 GRADUATE LORD
 GREATEST NORTH
 GROUNDHOG UNCUT
 GUYS FALCON
 HALF OUTFIELD
 HARDLY ROBBERS
 HATE HANDICAP
 HEDWIG ALTER
 HIGH ENCINO
 HILLS NEIGHBORS
 HOCUS FRIDA
 HOLIDAY GAMES
 HOLLYWOOD ANONYMOUS
 HOME PITY
 HOOK CHARIOTS
 HOPE TOOTSIE
 HUMAN GRAFFITI
 HURRICANE AFFAIR
 HUSTLER PARTY
 IDAHO LOVE
 IGBY MAKER
 INDEPENDENCE HOTEL
 INDIAN LOVE
 INNOCENT USUAL
 INSECTS STONE
 INTENTIONS EMPIRE
 JACKET FRISCO
 JADE BUNCH
 JASON TRAP
 JAWBREAKER BROOKLYN
 JERK PAYCHECK
 JET NEIGHBORS
 JOON NORTHWEST
 KENTUCKIAN GIANT
 KING EVOLUTION
 KISS GLORY
 LADY STAGE
 LAMBS CINCINATTI
 LEATHERNECKS DWARFS
 LEGALLY SECRETARY
 LONELY ELEPHANT
 LOVELY JINGLE
 LOVERBOY ATTACKS
 LOVE SUICIDES
 LUCK OPUS
 LUCKY FLYING
 LUKE MUMMY
 LUST LOCK
 MAUDE MOD
 MERMAID INSECTS
 METROPOLIS COMA
 MODEL FISH
 MOTIONS DETAILS
 MOURNING PURPLE
 MULHOLLAND BEAST
 MUMMY CREATURES
 MURDER ANTITRUST
 MUSIC BOONDOCK
 NAME DETECTIVE
 NECKLACE OUTBREAK
 NEWTON LABYRINTH
 NIGHTMARE CHILL
 NUTS TIES
 OCTOBER SUBMARINE
 ODDS BOOGIE
 OPERATION OPERATION
 OUTBREAK DIVINE
 PACIFIC AMISTAD
 PANKY SUBMARINE
 PAPI NECKLACE
 PARIS WEEKEND
 PARTY KNOCK
 PAST SUICIDES
 PATHS CONTROL
 PEAK FOREVER
 PERDITION FARGO
 PICKUP DRIVING
 PITTSBURGH HUNCHBACK
 POLISH BROOKLYN
 POND SEATTLE
 PRIMARY GLASS
 PULP BEVERLY
 QUILLS BULL
 RAGE GAMES
 RAINBOW SHOCK
 REBEL AIRPORT
 REDEMPTION COMFORTS
 REDS POCUS
 REQUIEM TYCOON
 RINGS HEARTBREAKERS
 ROCK INSTINCT
 ROCKY WAR
 ROOM ROMAN
 RUGRATS SHAKESPEARE
