         title          
------------------------
 ALICE FANTASIA
 APOLLO TEEN
 ARGONAUTS TOWN
 ARK RIDGEMONT
 ARSENIC INDEPENDENCE
 BOONDOCK BALLROOM
 BUTCH PANTHER
 CATCH AMISTAD
 CHINATOWN GLADIATOR
 CHOCOLATE DUCK
 COMMANDMENTS EXPRESS
 CROSSING DIVORCE
 CROWDS TELEMARK
 CRYSTAL BREAKING
 DAZED PUNK
 DELIVERANCE MULHOLLAND
 FIREHOUSE VIETNAM
 FLOATS GARDEN
 FRANKENSTEIN STRANGER
 GLADIATOR WESTWARD
 GUMP DATE
 HATE HANDICAP
 HOCUS FRIDA
 KENTUCKIAN GIANT
 KILL BROTHERHOOD
 MUPPET MILE
 ORDER BETRAYED
 PEARL DESTINY
 PERDITION FARGO
 PSYCHO SHRUNK
 RAIDERS ANTITRUST
 RAINBOW SHOCK
 ROOF CHAMPION
 SISTER FREDDY
 SKY MIRACLE
 SUICIDES SILENCE
 TADPOLE PARK
 TREASURE COMMAND
 VILLAIN DESPERATE
 VOLUME HOUSE
 WAKE JAWS
 WALLS ARTIST
(42 rows)

