        title         
----------------------
 ALIEN CENTER
 BERETS AGENT
 BIRDS PERDITION
 BOULEVARD MOB
 CALIFORNIA BIRDS
 CENTER DINOSAUR
 CHAINSAW UPTOWN
 CLUB GRAFFITI
 COAST RAINBOW
 COMA HEAD
 DOGMA FAMILY
 DOUBTFIRE LABYRINTH
 EAGLES PANKY
 FAMILY SWEET
 FATAL HAUNTED
 FEUD FROGMEN
 FORWARD TEMPLE
 GALAXY SWEETHEARTS
 GIANT TROOPERS
 GRIT CLOCKWORK
 GUNFIGHT MOON
 HANDICAP BOONDOCK
 HANGING DEEP
 HYDE DOCTOR
 INSECTS STONE
 INSIDER ARIZONA
 INTRIGUE WORST
 JUMPING WRATH
 MADNESS ATTACKS
 NORTHWEST POLISH
 ODDS BOOGIE
 OZ LIAISONS
 PHILADELPHIA WIFE
 PICKUP DRIVING
 RANGE MOONWALKER
 REDS POCUS
 RIDGEMONT SUBMARINE
 ROBBERS JOON
 ROSES TREASURE
 SEA VIRGIN
 SHOOTIST SUPERFLY
 SLEEPLESS MONSOON
 SPLENDOR PATTON
 STREETCAR INTENTIONS
 STRICTLY SCARFACE
 SUBMARINE BED
 SWARM GOLD
 SWEETHEARTS SUSPECTS
 TALENTED HOMICIDE
 TENENBAUMS COMMAND
 TIMBERLAND SKY
 TORQUE BOUND
 TROUBLE DATE
 UNBREAKABLE KARATE
 WEREWOLF LOLA
 WHALE BIKINI
 WOLVES DESIRE
 WORKING MICROCOSMOS
 WORST BANGER
(59 rows)

