 year | month | day | count 
------+-------+-----+-------
 2005 |     5 |  24 |    16
 2005 |     5 |  25 |   138
 2005 |     5 |  26 |   168
 2005 |     5 |  27 |   174
 2005 |     5 |  28 |   193
 2005 |     5 |  29 |   154
 2005 |     5 |  30 |   162
 2005 |     5 |  31 |   151
 2005 |     5 |     |  1156
 2005 |     6 |  14 |    30
 2005 |     6 |  15 |   350
 2005 |     6 |  16 |   318
 2005 |     6 |  17 |   327
 2005 |     6 |  18 |   342
 2005 |     6 |  19 |   350
 2005 |     6 |  20 |   334
 2005 |     6 |  21 |   260
 2005 |     6 |     |  2311
 2005 |     7 |   5 |    51
 2005 |     7 |   6 |   495
 2005 |     7 |   7 |   466
 2005 |     7 |   8 |   515
 2005 |     7 |   9 |   514
 2005 |     7 |  10 |   479
 2005 |     7 |  11 |   464
 2005 |     7 |  12 |   469
 2005 |     7 |  26 |    64
 2005 |     7 |  27 |   641
 2005 |     7 |  28 |   626
 2005 |     7 |  29 |   642
 2005 |     7 |  30 |   626
 2005 |     7 |  31 |   687
 2005 |     7 |     |  6739
 2005 |     8 |   1 |   680
 2005 |     8 |   2 |   604
 2005 |     8 |  16 |    52
 2005 |     8 |  17 |   588
 2005 |     8 |  18 |   628
 2005 |     8 |  19 |   622
 2005 |     8 |  20 |   620
 2005 |     8 |  21 |   668
 2005 |     8 |  22 |   623
 2005 |     8 |  23 |   571
 2005 |     8 |     |  5656
 2005 |       |     | 15862
 2020 |     2 |  14 |   182
 2020 |     2 |     |   182
 2020 |       |     |   182
      |       |     | 16044
(49 rows)

